"HolzartCode","LeimCode","LeimgradCode","Primer","Rohd.Biege","MOE","MOR","Rohd.Querz","IB","Dens_mitt","Dens_max","Dens_min","Quell2h","Quell24h","WA2h","WA24h"
"Beech","PMDI","high","no primer",721.9,3443,25,735.5,1.32,749.36,770,660,0.022,0.084,0.061,0.211
"Beech","PMDI","high","no primer",739.1,3815,27.5,742.1,1.2,745.95,795.065,664.3206177,0.021,0.08,0.06,0.211
"Oak","PMDI","high","no primer",753,3788,26.1,759.2,1.32,778.2966667,917.985,695.8296509,0.019,0.069,0.052,0.196
"Oak","PMDI","high","no primer",721.2,3593,22.9,737.8,1.02,741.4133333,879.0816667,665.1679484,0.018,0.071,0.057,0.214
"Spruce","PMDI","high","no primer",654.6,3215,22.1,678.4,1.11,684.8033333,827.3216667,612.6491496,0.014,0.064,0.076,0.22
"Spruce","PMDI","high","no primer",723.3,3943,27.7,733.9,1.42,746.5233333,877.4233333,673.2972005,0.014,0.06,0.06,0.182
"Pine","PMDI","high","no primer",722.5,3878,25.8,736.5,0.97,745.54,906.895,664.0181071,0.179,0.233,0.571,0.702
"Pine","PMDI","high","no primer",746.4,4030,26,759.7,1.03,758.84,916.9,678.9997762,0.173,0.245,0.552,0.7
"Poplar","PMDI","high","no primer",723.5,4348,34.5,736.1,0.9,746.6833333,928.7933333,649.4562378,0.018,0.105,0.095,0.486
"Poplar","PMDI","high","no primer",729.8,4478,36.4,741.9,0.81,775.6333333,953.8266667,678.2304281,0.018,0.096,0.087,0.439
"Beech","PMDI","high","melamine primer",729,3323,19.3,744.4,1.28,736.96,828.5683333,678.8652344,0.011,0.043,0.054,0.21
"Beech","PMDI","high","melamine primer",736.5,3288,19,766.3,1.48,796.4633333,796.4633333,NA,0.008,0.038,0.051,0.191
"Oak","PMDI","high","melamine primer",739.1,3030,20.6,758.2,1.8,801.7466667,871.5916667,766.3285828,0.008,0.036,0.038,0.154
"Oak","PMDI","high","melamine primer",726.9,2868,19.2,747.4,1.75,753.79,836.5566667,700.9080811,0.005,0.035,0.045,0.175
"Spruce","PMDI","high","melamine primer",709.7,3760,23.8,736,1.15,785.5533333,917.9266667,708.0458374,0.012,0.046,0.057,0.164
"Spruce","PMDI","high","melamine primer",684.7,3200,17.9,699.4,1.09,713.1833333,836.8516667,649.2046916,0.009,0.047,0.066,0.186
